Metric,Value
Mean Residual (USD),4995.805438880575
Median Residual (USD),1149.168569213084
Residual Standard Deviation (USD),17726.61888889658
Mean Absolute Error (USD),9827.866838362384
Root Mean Squared Error (USD),18416.848668982715
R² (Log Scale),0.5039300539360654
