Business Scenario,Algorithm,Predictors,MAE (USD),RMSE (USD),R² (Log Scale),Adjusted R² (Log Scale)
Model A - Investment Screening,Random Forest,176,13043.067440089893,24594.347193979782,0.2205436345039622,0.21581118244354747
Model B1 - Listing Performance,Random Forest,179,12354.337889992456,23737.5702823462,0.3042186598533192,0.29992178699196825
Model B2 - Host Portfolio,Random Forest,180,12211.190826288006,23508.12256162294,0.3239873414945518,0.3197890845758731
Model C - Pricing Strategy,Random Forest,181,11791.55179216805,22666.59245790135,0.3805167337726221,0.37664803587429696
